plant.name,plant.cultivar,plant.genotype,plant.phenotypes.plagiotropic_node_number,plant.phenotypes.plagiotropic_node_distance,plant.phenotypes.orthotropic_branch_length,plant.phenotypes.orthotropic_branch_node_number,plant.phenotypes.height,plant.phenotypes.diameter,plant.phenotypes.leaf_area,model.name,model.tank_volume,model.rotors.number,model.nozzles.type,model.nozzles.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.results.coverage.value,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.60,67.4,JT5L-404,5,6,full cone,4,T1,25,30,55,80,0.5,2.5,2,4,10,9.0,30.1,320,355,11.0
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.60,67.4,JT5L-404,5,6,full cone,4,T2,25,30,55,80,0.5,2.5,3,4,10,9.5,30.1,328,341,4.0
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.60,67.4,JT5L-404,5,6,full cone,4,T3,25,30,55,80,0.5,2.5,4,4,10,8.1,30.1,314,341,8.7
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.40,1.53,60.2,JT5L-404,5,6,full cone,4,T4,25,30,55,80,0.5,2.5,2,4,10,7.3,30.1,329,362,10.0
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.40,1.53,60.2,JT5L-404,5,6,full cone,4,T5,25,30,55,80,0.5,2.5,3,4,10,7.0,30.1,337,353,4.9
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.40,1.53,60.2,JT5L-404,5,6,full cone,4,T6,25,30,55,80,0.5,2.5,4,4,10,6.9,30.1,327,360,10.0
coffee,tributum,P1,15.00,3.75,71.50,19.00,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T7,25,30,55,80,0.5,2.5,2,4,10,6.9,30.1,322,350,8.7
coffee,tributum,P1,15.00,3.75,71.50,19.00,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T8,25,30,55,80,0.5,2.5,3,4,10,7.0,30.1,330,350,6.1
coffee,tributum,P1,15.00,3.75,71.50,19.00,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T9,25,30,55,80,0.5,2.5,4,4,10,6.7,30.1,330,367,11.2
